"Altitude","Density"
14830,0.00150412
14840,0.00150363
14850,0.00150314
14860,0.00150265
14870,0.00150216
14880,0.00150167
14890,0.00150118
14900,0.00150069
14910,0.0015002
14920,0.00149972
14930,0.00149923
14940,0.00149874
14950,0.00149825
14960,0.00149776
14970,0.00149727
14980,0.00149678
14990,0.0014963
15000,0.0014958
15500,0.00147156
16000,0.00144761
16500,0.00142396
17000,0.00140061
17500,0.00137755
18000,0.00135479
18500,0.00133231
19000,0.00131012
19500,0.00128821
20000,0.00126659
20500,0.00124524
21000,0.00122417
21500,0.00120337
22000,0.00118285
22500,0.00116259
23000,0.0011426
23500,0.00112287
24000,0.00110341
24500,0.00108421
25000,0.00106526
25500,0.00104656
26000,0.00102812
26500,0.00100993
27000,0.000991984
27500,0.000974284
28000,0.000956827
28500,0.00093961
29000,0.000922631
29500,0.000905888
30000,0.000889378
30500,0.000873099
31000,0.00085705
31500,0.000841227
32000,0.000825628
32500,0.000810252
33000,0.000795096
33500,0.000780157
34000,0.000765434
34500,0.000750925
35000,0.000736627
35500,0.000722539
36000,0.000708657
36500,0.000692396
37000,0.000675954
37500,0.000659904
38000,0.000644234
38500,0.000628937
39000,0.000614002
39500,0.000599423
40000,0.000585189
40500,0.000571294
41000,0.000557728
41500,0.000544485
42000,0.000531556
42500,0.000518934
43000,0.000506612
43500,0.000494582
44000,0.000482838
44500,0.000471373
45000,0.00046018
